,Date/Time,Lat,Lon,Base
798224,05/11/2014 22:33,40.6879,-74.1827,B02682
798225,05/11/2014 22:33,40.6925,-73.9599,B02682
798226,05/11/2014 22:33,40.7261,-73.9919,B02682
798227,05/11/2014 22:33,40.7587,-73.9893,B02598
798228,05/11/2014 22:33,40.7743,-73.8729,B02598
798229,05/11/2014 22:34,40.6443,-73.7835,B02598
798230,05/11/2014 22:34,40.6466,-73.7905,B02682
798231,05/11/2014 22:34,40.7151,-73.9921,B02617
798232,05/11/2014 22:34,40.7327,-73.9972,B02682
798233,05/11/2014 22:34,40.7442,-74.0067,B02598
798234,05/11/2014 22:34,40.7523,-74.0032,B02617
798235,05/11/2014 22:34,40.7523,-74.0035,B02598
798236,05/11/2014 22:35,40.6868,-73.9906,B02682
798237,05/11/2014 22:35,40.7223,-73.9974,B02598
798238,05/11/2014 22:35,40.7416,-74.0004,B02598
798239,05/11/2014 22:35,40.7481,-73.9817,B02598
798240,05/11/2014 22:35,40.774,-73.8727,B02682
798241,05/11/2014 22:36,40.6457,-73.7767,B02598
798242,05/11/2014 22:36,40.6714,-73.9713,B02598
798243,05/11/2014 22:36,40.7329,-73.9557,B02598
798244,05/11/2014 22:36,40.7402,-73.9994,B02682
798245,05/11/2014 22:36,40.7442,-73.9999,B02598
798246,05/11/2014 22:36,40.7714,-73.9895,B02598
798247,05/11/2014 22:36,40.81,-73.9093,B02682
798248,05/11/2014 22:37,40.6449,-73.782,B02682
798249,05/11/2014 22:37,40.7175,-73.9933,B02682
798250,05/11/2014 22:37,40.719,-73.9975,B02617
798251,05/11/2014 22:37,40.7299,-74.0037,B02682
798252,05/11/2014 22:37,40.7335,-73.9993,B02598
798253,05/11/2014 22:37,40.7354,-73.9939,B02617
798254,05/11/2014 22:37,40.7494,-73.9946,B02598
798255,05/11/2014 22:37,40.7509,-73.8855,B02598
798256,05/11/2014 22:37,40.818,-73.9545,B02617
798257,05/11/2014 22:38,40.7151,-73.9564,B02617
798258,05/11/2014 22:38,40.745,-73.9947,B02598
798259,05/11/2014 22:38,40.7454,-73.9521,B02617
798260,05/11/2014 22:38,40.7547,-73.976,B02682
798261,05/11/2014 22:38,40.7602,-73.9811,B02682
798262,05/11/2014 22:38,40.7692,-73.9814,B02682
798263,05/11/2014 22:38,40.8273,-73.9486,B02682
798264,05/11/2014 22:39,40.6641,-73.9806,B02682
798265,05/11/2014 22:39,40.7336,-74.0063,B02598
798266,05/11/2014 22:39,40.7371,-73.9961,B02598
798267,05/11/2014 22:39,40.7374,-73.9945,B02598
798268,05/11/2014 22:39,40.7406,-74.0067,B02598
798269,05/11/2014 22:39,40.7544,-73.9889,B02598
798270,05/11/2014 22:39,40.7544,-73.9889,B02598
798271,05/11/2014 22:39,40.774,-73.8725,B02512
798272,05/11/2014 22:40,40.6735,-73.9629,B02598
798273,05/11/2014 22:40,40.6804,-73.9893,B02512
798274,05/11/2014 22:40,40.7164,-73.9529,B02598
798275,05/11/2014 22:40,40.7279,-74.0015,B02617
798276,05/11/2014 22:40,40.7325,-73.9992,B02682
798277,05/11/2014 22:40,40.7419,-74.001,B02682
798278,05/11/2014 22:40,40.7439,-73.9973,B02682
798279,05/11/2014 22:40,40.7814,-73.9483,B02598
798280,05/11/2014 22:40,40.786,-73.9771,B02598
798281,05/11/2014 22:41,40.688,-74.183,B02682
798282,05/11/2014 22:41,40.7253,-73.9871,B02617
798283,05/11/2014 22:41,40.7266,-73.986,B02598
